ncm,descripcion,die_aec,tasa_estadistica,iva,iva_reducido,bk_bit,nota
02085000,En envases inmediatos de contenido neto inferior o igual a 5 kg (R.1044/00 ME),10,3,21,false,,Base NCM feb-2023 (Kaggle).
02086000,En envases inmediatos de contenido neto inferior o igual a 5 kg (R.1044/00 ME),10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02089000,Cuartos delanteros,10,3,21,false,,Base NCM feb-2023 (Kaggle).
02091011,De lomo,6,3,21,false,,Base NCM feb-2023 (Kaggle).
02091019,Los demas,6,3,21,false,,Base NCM feb-2023 (Kaggle).
02091021,Fresca. refrigerada o congelada,6,3,21,false,,Base NCM feb-2023 (Kaggle).
02091029,Las demas,6,3,21,false,,Base NCM feb-2023 (Kaggle).
02099000,-Los demas,6,3,21,false,,Base NCM feb-2023 (Kaggle).
02101100,Jamones,10,3,21,false,,Base NCM feb-2023 (Kaggle).
02101200,--Tocino entreverado de panza (panceta) y sus trozos,10,3,21,false,,Base NCM feb-2023 (Kaggle).
02101900,Jamones,10,3,21,false,,Base NCM feb-2023 (Kaggle).
02102000,-Carne de la especie bovina,10,3,21,false,,Base NCM feb-2023 (Kaggle).
02109100,--De primates,10,3,21,false,,Base NCM feb-2023 (Kaggle).
02109200,--De ballenas. delfines y marsopas (mamiferos del orden Cetacea); de manaties y dugones o dugongos (mamiferos del orden Sirenia); de otarios y focas. leones marinos y morsas (mamiferos del suborden Pinnipedia),10,3,21,false,,Base NCM feb-2023 (Kaggle).
02109300,--De reptiles (incluidas las serpientes y tortugas de mar),10,3,21,false,,Base NCM feb-2023 (Kaggle).
02109911,De gallos y de gallinas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
02109919,Los demas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
02109920,Carne de la especie ovina,10,3,21,false,,Base NCM feb-2023 (Kaggle).
02109930,Carne de la especie caballar,10,3,21,false,,Base NCM feb-2023 (Kaggle).
02109940,Despojos comestibles,10,3,21,false,,Base NCM feb-2023 (Kaggle).
02109990,De la especie caprina (R.2507/93ex-ANA),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03002202,Contra la fiebre tifoidea; contra el colera,2,3,21,false,,Base NCM feb-2023 (Kaggle).
03011110,Arawanas (Osteoglossum bicirrhosum),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03011190,Los demas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03011900,--Los demas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03019110,Para reproduccion,,3,21,false,,Base NCM feb-2023 (Kaggle).
03019190,Las demas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03019210,Para reproduccion,,3,21,false,,Base NCM feb-2023 (Kaggle).
03019290,Las demas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03019310,Para reproduccion,,3,21,false,,Base NCM feb-2023 (Kaggle).
03019390,Las demas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03019410,Para reproduccion,,3,21,false,,Base NCM feb-2023 (Kaggle).
03019490,Los demas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03019510,Para reproduccion,,3,21,false,,Base NCM feb-2023 (Kaggle).
03019590,Los demas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03019911,Tilapias (Tilapia spp.. Oreochromis spp.. Sarotherodon spp.. Danakilia spp.; sus hibridos),,3,21,false,,Base NCM feb-2023 (Kaggle).
03019912,Esturiones (Acipenser baeri. Acipenser gueldenstaedtii. Acipenser persicus. Acipenser stellatus),,3,21,false,,Base NCM feb-2023 (Kaggle).
03019919,Los demas,,3,21,false,,Base NCM feb-2023 (Kaggle).
03019991,Tilapias (Tilapia spp.. Oreochromis spp.. Sarotherodon spp.. Danakilia spp.; sus hibridos),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03019992,Esturiones (Acipencer baeri. Acipenser gueldenstaedtii. Acipenser persicus. Acipenser stellatus),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03019999,Los demas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03021100,Truchas enteras provenientes de cultivo (Oncorhynchus mykiss) (Res. 137/08 MEYP),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03021300,--Salmones del Pacifico (Oncorhynchus nerka. Oncorhynchus gorbuscha. Oncorhynchus keta. Oncorhynchus tschawytscha. Oncorhynchus kisutch. Oncorhynchus masou y Oncorhynchus rhodurus),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03021400,Salmones del Atlantico (Salmo salar),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03021900,--Los demas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03022100,--Fletanes (halibut) (Reinhardtius hippoglossoides. Hippoglossus hippoglossus. Hippoglossus stenolepis),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03022200,--Sollas (Pleuronectes platessa),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03022300,--Lenguados (Solea spp.),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03022400,--Rodaballos (turbots) (Psetta maxima),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03022900,--Los demas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03023100,--Albacoras o atunes blancos (Thunnus alalunga),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03023200,--Atunes de aleta amarilla (rabiles)(Thunnus albacares),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03023300,--Listados o bonitos de vientre rayado,10,3,21,false,,Base NCM feb-2023 (Kaggle).
03023400,--Patudos o atunes ojo grande (Thunnus obesus),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03023500,--Atunes comunes o de aleta azul. del Atlantico y del Pacifico (Thunnus thynnus. Thunnus orientalis),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03023600,--Atunes del sur (Thunnus maccoyii),10,3,21,false,,Base NCM feb-2023 (Kaggle).
03023900,--Los demas,10,3,21,false,,Base NCM feb-2023 (Kaggle).
